Crawler Name,Number of seed URIs,Completion Times,Number of 404s (determined by using CDXJ file),Archived HTML Files (determined by using CDXJ file),Missing HTML Files (determined by using CDXJ file),Archived Image Files (determined by using CDXJ file),Missing Image Files (determined by using CDXJ file),Archived Video Files (determined by using CDXJ file),Missing Video Files (determined by using CDXJ file),Archived Audio Files (determined by using CDXJ file),Missing Audio Files (determined by using CDXJ file),Archived CSS Files (determined by using CDXJ file),Missing CSS Files (determined by using CDXJ file),Archived JavaScript Files (determined by using CDXJ file),Missing JavaScript Files (determined by using CDXJ file),Archived JSON Files (determined by using CDXJ file),Missing JSON Files (determined by using CDXJ file),Archived XML Files (determined by using CDXJ file),Missing XML Files (determined by using CDXJ file),Archived PDF Files (determined by using CDXJ file),Missing PDF Files (determined by using CDXJ file),Archived Font Files (determined by using CDXJ file),Missing Font Files (determined by using CDXJ file),Other Archived Files (determined by using CDXJ file),Other Missing Files (determined by using CDXJ file)
squidwarc,10,0:12:44.450320,0,40,0,574,0,11,0,0,0,37,0,321,0,84,0,0,0,0,0,29,0,118,0
browsertrix,10,0:11:32.300927,3,29,1,532,2,15,0,10,0,40,0,375,0,207,0,0,0,0,0,33,0,188,0
