Crawler Name,Number of URLs Archived,Completion Times,Number of 404s,Number of Other Client or Server Error Responses,Number of Missing CSS Files,Number of Missing JavaScript Files,Number of Missing Image Files,Number of Missing Video Files,Number of Missing Audio Files,Number of Missing text/html Files,Number of Missing warc/revisit Files
brozzler,10,0:07:10.221827,3,2,0,0,0,0,0,4,1
browsertrix,10,0:04:37.031520,2,0,0,0,0,0,0,0,0
